min_cluster_size,min_samples,condition,representation,targets,reports,macro_f_measure,macro_purity,macro_inverse_purity,mean_predicted_clusters,noise_matrices,single_cluster_matrices
5,3,L_f1_W0,BL,3,152,0.9156166666666667,0.9382733333333334,0.9164133333333333,7.0,2,0
5,3,L_f1_W0,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,3,L_f1_W0,BLD4,3,152,0.9490033333333333,0.9781433333333333,0.9393433333333333,7.333333333333333,3,0
5,3,L_f1_W5,B,3,152,0.9660000000000001,0.9781433333333333,0.96175,5.666666666666667,1,0
5,3,L_f1_W5,BL,3,152,0.9698366666666667,0.9781433333333333,0.9726766666666666,6.0,2,0
5,3,L_f1_W5,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,3,L_f1_W5,BLD4,3,152,0.9698366666666667,0.9781433333333333,0.9726766666666666,6.0,2,0
5,3,L_f3_W0,B,3,152,0.9660000000000001,0.9781433333333333,0.96175,5.666666666666667,1,0
5,3,L_f3_W0,BL,3,152,0.9385033333333332,0.9672133333333334,0.9562833333333334,7.333333333333333,2,0
5,3,L_f3_W0,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,3,L_f3_W0,BLD4,3,152,0.9660000000000001,0.9781433333333333,0.9672133333333334,6.333333333333333,2,0
5,3,L_f3_W5,B,3,152,0.9660000000000001,0.9781433333333333,0.96175,5.666666666666667,1,0
5,3,L_f3_W5,BL,3,152,0.9486333333333333,0.9781433333333333,0.9419400000000001,5.666666666666667,1,0
5,3,L_f3_W5,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,3,L_f3_W5,BLD4,3,152,0.9698366666666667,0.9781433333333333,0.9726766666666666,6.0,2,0
5,5,L_f1_W0,B,3,152,0.9568933333333334,0.9781433333333333,0.9562833333333334,7.0,2,0
5,5,L_f1_W0,BL,3,152,0.9156166666666667,0.9382733333333334,0.9164133333333333,7.0,2,0
5,5,L_f1_W0,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,5,L_f1_W0,BLD4,3,152,0.93606,0.9781433333333333,0.92295,8.333333333333334,3,0
5,5,L_f1_W5,B,3,152,0.9568933333333334,0.9781433333333333,0.9562833333333334,7.0,2,0
5,5,L_f1_W5,BL,3,152,0.9698366666666667,0.9781433333333333,0.9726766666666666,6.0,2,0
5,5,L_f1_W5,BD4,3,152,0.9310933333333334,0.9672133333333334,0.92295,7.666666666666667,3,0
5,5,L_f1_W5,BLD4,3,152,0.9672333333333333,0.9726766666666666,0.9726766666666666,5.666666666666667,2,0
